eV,cm-1,um,no_perp,ko_perp,ne_par,ke_par,src
0.04959,400,25,1.01,2.45,0.83,1.09,8
0.04711,380,26.32,1.33,3.36,0.48,1.65,8
0.04587,370,27.03,1.73,3.74,,,8
0.04463,360,27.78,2.61,4.1,0.32,2.47,8
0.04339,350,28.57,2.64,2.83,,,8
0.04215,340,29.41,1.34,2.96,0.37,3.34,8
0.04092,330,30.3,1.89,4.75,,,8
0.03968,320,31.25,3.39,5.52,0.7,4.3,8
0.03844,310,32.26,4.09,3.04,1.16,4.51,8
0.0372,300,33.33,2.8,1.96,1.2,4.35,8
0.03596,290,34.48,,,0.75,4.64,8
0.03472,280,35.71,0.92,4.34,0.8,5.62,8
0.03348,270,37.04,2.19,6.84,0.94,6.91,8
0.03286,265,37.74,4.19,8.34,,,8
0.03224,260,38.46,5.71,7.91,3.04,9.86,8
0.031,250,40,6.79,2.94,6.58,10.4,8
0.02976,240,41.67,5.76,2.68,7.48,7.34,8
0.02852,230,43.48,5.82,2.31,8.55,4.91,8
0.02728,220,45.45,4.94,1.21,8.32,3.36,8
0.02604,210,47.62,,,7.66,2.6,8
0.0248,200,50,2.54,1.57,6.78,2.35,8
0.02356,190,52.63,,,7.08,2.85,8
0.02232,180,55.56,0.98,5.09,7.86,2.41,8
0.02108,170,58.82,2.04,7.36,8.03,0.75,8
0.01984,160,62.5,5.43,10.1,6.93,0.36,8
0.0186,150,66.67,7.96,9.92,6.33,0.38,8
0.01736,140,71.43,10.1,5.68,6.17,0.4,8
0.01612,130,76.92,10.6,3.06,6.01,0.43,8
0.01485,120,83.33,9.83,1.67,5.84,0.43,8
0.0124,100,100,8.57,0.7,5.66,0.35,8
0.01054,85,117.6,,,,2.30E-02,10
0.009919,80,125,7.87,0.13,5.52,1.80E-02,8
0.009299,75,133.3,,3.50E-02,,,10
0.008679,70,142.9,,3.00E-02,,1.10E-02,10
0.007439,60,166.7,7.06,1.90E-02,5.22,8.00E-03,10
0.006199,50,200,6.9,9.50E-03,5.165,4.80E-03,10
0.004959,40,250,6.8,6.00E-03,5.125,3.60E-03,8
0.00372,30,333.3,6.7,4.50E-03,5.1,2.90E-03,8
0.00248,20,500,6.64,3.20E-03,5.07,2.00E-03,8
0.00124,10,1000,6.61,2.00E-03,5.06,1.60E-03,8
